|tripnum     |depotcode|transporter               |vehiclereg|startdate              |stopdate               |avg_percent|loaddate                     |total_trip_time|total_distance|
|------------|---------|--------------------------|----------|-----------------------|-----------------------|-----------|-----------------------------|---------------|--------------|
|2024-0046368|EA33     |Reef Tankers              |LC21DTGP  |2024-08-08 18:13:00.000|                       |94.24      |2024-08-08 17:57:00.000 +0200|               |0             |
|2024-0049984|EB06     |Tanker Services Fuel      |KP80GGGP  |2024-08-26 20:22:00.000|                       |74.16      |2024-08-26 20:00:00.000 +0200|               |0             |
|2024-0061697|EB06     |Reef Tankers              |HH81RLGP  |2024-10-20 03:57:00.000|                       |92.09      |2024-10-20 03:50:00.000 +0200|               |0             |
|2024-0053683|EA33     |Unitrans Supply Chain Sols|CAA425318 |2024-09-12 11:53:00.000|2024-09-12 16:49:00.000|92.32      |2024-09-12 09:02:00.000 +0200|17,760         |73            |
|2024-0053785|EA33     |Unitrans Supply Chain Sols|CAA142820 |2024-09-12 20:43:00.000|2024-09-13 10:57:00.000|66.8       |2024-09-12 20:32:00.000 +0200|51,240         |122           |
|2024-0054007|EB05     |Tanker Services Fuel      |KP70CBGP  |2024-09-13 20:21:00.000|                       |82.57      |2024-09-13 20:18:00.000 +0200|               |0             |
|2024-0047018|EB06     |Tanker Services Fuel      |BG46WVGP  |2024-08-12 11:31:00.000|                       |0          |2024-08-12 11:31:00.000 +0200|               |0             |
|2024-0047786|EA33     |Unitrans Supply Chain Sols|CAA130046 |2024-08-15 19:25:00.000|2024-08-16 01:49:00.000|93.54      |2024-08-15 19:16:00.000 +0200|23,040         |212           |
|2024-0062555|EA33     |Unitrans Supply Chain Sols|CAA198199 |2024-10-24 01:06:00.000|2024-10-24 11:40:00.000|88.81      |2024-10-24 01:02:00.000 +0200|38,040         |80            |
|2024-0056275|EB06     |Tanker Services Fuel      |KP70BFGP  |2024-09-24 21:38:00.000|                       |84.53      |2024-09-24 21:29:00.000 +0200|               |0             |
|2024-0057684|EB05     |Tanker Services Fuel      |KP57KHGP  |2024-10-01 17:44:00.000|                       |93.64      |2024-10-01 17:41:00.000 +0200|               |0             |
|2024-0058174|EA33     |Unitrans Supply Chain Sols|CAA548852 |2024-10-04 01:32:00.000|2024-10-04 08:31:00.000|70.19      |2024-10-04 01:31:00.000 +0200|25,140         |45            |
|2024-0058914|EB23     |Makwande                  |KNP802MP  |2024-10-07 11:15:00.000|2024-10-07 18:00:00.000|79.47      |2024-10-07 11:11:00.000 +0200|24,300         |226           |
|2024-0059266|EB23     |Makwande                  |KR60ZBGP  |2024-10-08 22:58:00.000|                       |93.27      |2024-10-08 22:57:00.000 +0200|               |0             |
