"tripnum","depotcode","transporter","vehiclereg","startdate","stopdate","avg_percent","loaddate","total_trip_time","total_distance"
"2024-0048355",EB06,Reef Tankers,HH81RLGP,2024-08-18 23:10:00.000,,93.38,2024-08-18 22:56:00.000 +0200,,0
"2024-0050513",EB21,Unitrans Supply Chain Sols,CAA425318,2024-08-28 22:13:00.000,2024-08-29 03:38:00.000,79.31,2024-08-28 22:13:00.000 +0200,19500.0,223
"2024-0052477",EB06,Reef Tankers,LV20BGGP,2024-09-06 23:24:00.000,,92.5,2024-09-06 22:50:00.000 +0200,,0
"2024-0052424",EB06,ManLine Energy,KBL322MP,2024-09-06 18:13:00.000,,92.45,2024-09-06 17:58:00.000 +0200,,0
"2024-0059013",EA33,Unitrans Supply Chain Sols,CAA419006,2024-10-07 19:50:00.000,2024-10-08 12:44:00.000,89.18,2024-10-07 19:47:00.000 +0200,60840.0,133
"2024-0059440",EA33,Unitrans Supply Chain Sols,CAA425430,2024-10-09 12:05:00.000,,94.26,2024-10-09 11:12:00.000 +0200,,0
"2024-0059707",EA33,Unitrans Supply Chain Sols,CAA418992,2024-10-10 20:04:00.000,2024-10-11 01:06:00.000,83.16,2024-10-10 20:02:00.000 +0200,18120.0,89
"2024-0046192",EB21,Makwande,KP09PHGP,2024-08-07 23:36:00.000,2024-08-08 03:59:00.000,86.24,2024-08-07 23:36:00.000 +0200,15780.0,53
"2024-0047795",EB21,Makwande,KS49WFGP,2024-08-15 20:11:00.000,2024-08-16 07:02:00.000,62.16,2024-08-15 20:10:00.000 +0200,39060.0,180
"2024-0047795",EB21,Makwande,KS49XBGP,2024-08-15 20:11:00.000,2024-08-16 07:02:00.000,83.13,2024-08-15 20:10:00.000 +0200,39060.0,180
"2024-0063354",EB21,Unitrans Supply Chain Sols,CAA130019,2024-10-27 22:36:00.000,2024-10-28 16:31:00.000,90.59,2024-10-27 22:21:00.000 +0200,64500.0,263
