|date      |depot_code|depot_location      |transporter               |total_distance|percentage_empty|emptiness_var_cost|total_amount_wasted_per_transporter|transporter_type|contract_ref    |monthly_transporter_cost|
|----------|----------|--------------------|--------------------------|--------------|----------------|------------------|-----------------------------------|----------------|----------------|------------------------|
|2024-09-24|EA33      |Alrode              |Unitrans Supply Chain Sols|1,860         |6.49            |15.705792         |1,966.08                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-10-02|EA33      |Alrode              |Unitrans Supply Chain Sols|444           |11.99           |14.50656          |953.36                             |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-10-14|EA33      |Alrode              |Unitrans Supply Chain Sols|1,185         |7.55            |9.14112           |1,603.51                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-09-25|EB44      |Witbank             |Makwande                  |473           |19.69           |11.289174         |903.59                             |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-08-17|EB21      |Waltloo             |Makwande                  |2,561         |21.32           |76.388931         |7,714.26                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-10-27|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|425           |9.47            |6.54912           |805.46                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-10-04|EB05      |East London         |Tanker Services Fuel      |328           |2.96            |0.494912          |162.33                             |Secondary       |TNK-ESL-DIR-2022|791,559                 |
|2024-10-08|EA33      |Alrode              |Unitrans Supply Chain Sols|2,363         |9.14            |22.123584         |2,687.18                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-08-21|EB21      |Waltloo             |Makwande                  |2,997         |17.98           |69.582181         |6,231.34                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-09-29|EA33      |Alrode              |Unitrans Supply Chain Sols|2,563         |11.24           |33.02208          |4,640.72                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-08-26|EB21      |Waltloo             |Makwande                  |1,532         |12.72           |18.234925         |2,885.23                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-08-19|EA33      |Alrode              |Unitrans Supply Chain Sols|2,862         |13.94           |53.021952         |5,840.96                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-10-25|EB08      |Ladysmith           |Tanker Services Fuel      |650           |30.01           |15.05636          |1,764.68                           |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-10-26|EB21      |Waltloo             |Makwande                  |5,307         |12.64           |54.366587         |9,089.45                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
